station_name,lat,lon,scene_id,date,cloud_cover,ndmi_mean,datetime,date_only,year
Acme,34.60209,-98.22904,LC09_L2SP_028036_20240913_02_T1,2024-09-13 17:07:49.432924+00:00,0.35,-0.1145486484426073,2024-09-13 17:07:49.432924+00:00,2024-09-13,2024
Acme,34.60156,-98.21931,LC08_L2SP_028036_20240921_02_T1,2024-09-21 17:07:54.315302+00:00,1.62,-0.0812175423470707,2024-09-21 17:07:54.315302+00:00,2024-09-21,2024
Acme,34.60185,-98.2231,LC09_L2SP_028036_20240929_02_T1,2024-09-29 17:07:53.595886+00:00,3.21,-0.1137013046385682,2024-09-29 17:07:53.595886+00:00,2024-09-29,2024
Acme,34.60174,-98.19172,LC08_L2SP_028036_20241007_02_T1,2024-10-07 17:07:51.399026+00:00,0.02,-0.0900146160838939,2024-10-07 17:07:51.399026+00:00,2024-10-07,2024
Acme,34.60205,-98.23784,LC09_L2SP_028036_20241015_02_T1,2024-10-15 17:08:01.571794+00:00,9.82,-0.0924799766267071,2024-10-15 17:08:01.571794+00:00,2024-10-15,2024
Acme,34.60171,-98.23294,LC08_L2SP_028036_20241023_02_T1,2024-10-23 17:08:03.525502+00:00,2.47,-0.1040952519201489,2024-10-23 17:08:03.525502+00:00,2024-10-23,2024
Acme,34.60217,-98.23721,LC09_L2SP_028036_20241031_02_T1,2024-10-31 17:08:04.951057+00:00,0.01,-0.0833914259258465,2024-10-31 17:08:04.951057+00:00,2024-10-31,2024
Acme,34.60176,-98.21405,LC08_L2SP_028036_20241108_02_T2,2024-11-08 17:08:00.792637+00:00,99.94,,2024-11-08 17:08:00.792637+00:00,2024-11-08,2024
Acme,34.60224,-98.23163,LC09_L2SP_028036_20241116_02_T1,2024-11-16 17:08:06.267907+00:00,24.84,,2024-11-16 17:08:06.267907+00:00,2024-11-16,2024
Acme,34.60187,-98.24922,LC08_L2SP_028036_20241124_02_T1,2024-11-24 17:08:10.065228+00:00,4.5,-0.1353854500458968,2024-11-24 17:08:10.065228+00:00,2024-11-24,2024
Acme,34.60195,-98.25381,LC09_L2SP_028036_20241202_02_T1,2024-12-02 17:08:13.338379+00:00,0.03,-0.1657703537937643,2024-12-02 17:08:13.338379+00:00,2024-12-02,2024
Acme,34.60185,-98.20206,LC08_L2SP_028036_20241210_02_T1,2024-12-10 17:07:59.238382+00:00,66.39,,2024-12-10 17:07:59.238382+00:00,2024-12-10,2024
Acme,34.60183,-98.23144,LC09_L2SP_028036_20241218_02_T1,2024-12-18 17:08:08.979992+00:00,0.03,-0.197554415515697,2024-12-18 17:08:08.979992+00:00,2024-12-18,2024
Acme,34.60186,-98.21705,LC08_L2SP_028036_20241226_02_T2,2024-12-26 17:08:02.240790+00:00,99.99,,2024-12-26 17:08:02.240790+00:00,2024-12-26,2024
Ada,34.60254,-96.66413,LC08_L2SP_027036_20240102_02_T1,2024-01-02 17:01:54.783139+00:00,87.73,,2024-01-02 17:01:54.783139+00:00,2024-01-02,2024
Ada,34.60267,-96.68186,LC09_L2SP_027036_20240110_02_T1,2024-01-10 17:02:04.698864+00:00,0.18,,2024-01-10 17:02:04.698864+00:00,2024-01-10,2024
Ada,34.60276,-96.67812,LC08_L2SP_027036_20240118_02_T1,2024-01-18 17:01:55.130706+00:00,18.49,-0.1474031184559,2024-01-18 17:01:55.130706+00:00,2024-01-18,2024
