station_name,lat,lon,scene_id,date,cloud_cover,ndmi_mean,datetime,date_only,year
Acme,34.60192,-98.22488,LC08_L2SP_028036_20230106_02_T1,2023-01-06 17:08:23.768446+00:00,48.04,,2023-01-06 17:08:23.768446+00:00,2023-01-06,2023
Acme,34.60189,-98.22748,LC09_L2SP_028036_20230114_02_T1,2023-01-14 17:08:22.860063+00:00,26.24,,2023-01-14 17:08:22.860063+00:00,2023-01-14,2023
Acme,34.60222,-98.23033,LC08_L2SP_028036_20230122_02_T1,2023-01-22 17:08:19.960827+00:00,22.45,-0.2897244893711569,2023-01-22 17:08:19.960827+00:00,2023-01-22,2023
Acme,34.60179,-98.25608,LC09_L2SP_028036_20230130_02_T2,2023-01-30 17:08:26.592298+00:00,17.43,,2023-01-30 17:08:26.592298+00:00,2023-01-30,2023
Acme,34.60207,-98.26114,LC08_L2SP_028036_20230207_02_T2,2023-02-07 17:08:20.957651+00:00,99.97,,2023-02-07 17:08:20.957651+00:00,2023-02-07,2023
Acme,34.60191,-98.27491,LC09_L2SP_028036_20230215_02_T1,2023-02-15 17:08:26.630582+00:00,0.32,-0.2671786362892202,2023-02-15 17:08:26.630582+00:00,2023-02-15,2023
Acme,34.60178,-98.22361,LC08_L2SP_028036_20230223_02_T1,2023-02-23 17:08:04.532061+00:00,0.36,-0.2672133132285829,2023-02-23 17:08:04.532061+00:00,2023-02-23,2023
Acme,34.60191,-98.24472,LC09_L2SP_028036_20230303_02_T1,2023-03-03 17:08:13.770213+00:00,0.01,-0.2561177552691724,2023-03-03 17:08:13.770213+00:00,2023-03-03,2023
Acme,34.60209,-98.23422,LC08_L2SP_028036_20230311_02_T1,2023-03-11 17:07:58.230662+00:00,13.95,-0.2501365254201174,2023-03-11 17:07:58.230662+00:00,2023-03-11,2023
Acme,34.60218,-98.24605,LC09_L2SP_028036_20230319_02_T1,2023-03-19 17:08:07.077490+00:00,0.3,-0.2491087073309089,2023-03-19 17:08:07.077490+00:00,2023-03-19,2023
Acme,34.60209,-98.23577,LC08_L2SP_028036_20230327_02_T1,2023-03-27 17:07:48.715943+00:00,69.72,,2023-03-27 17:07:48.715943+00:00,2023-03-27,2023
Acme,34.60228,-98.23717,LC09_L2SP_028036_20230404_02_T1,2023-04-04 17:07:56.639938+00:00,96.28,,2023-04-04 17:07:56.639938+00:00,2023-04-04,2023
Acme,34.602,-98.21658,LC08_L2SP_028036_20230412_02_T1,2023-04-12 17:07:33.096045+00:00,0.02,-0.1539312834123339,2023-04-12 17:07:33.096045+00:00,2023-04-12,2023
Acme,34.60221,-98.25013,LC09_L2SP_028036_20230420_02_T1,2023-04-20 17:07:50.446993+00:00,35.44,-0.0574371306712127,2023-04-20 17:07:50.446993+00:00,2023-04-20,2023
Acme,34.60193,-98.25026,LC08_L2SP_028036_20230428_02_T2,2023-04-28 17:07:29.252668+00:00,100.0,,2023-04-28 17:07:29.252668+00:00,2023-04-28,2023
Acme,34.60206,-98.24207,LC09_L2SP_028036_20230506_02_T1,2023-05-06 17:07:38.552689+00:00,4.75,,2023-05-06 17:07:38.552689+00:00,2023-05-06,2023
Acme,34.60214,-98.24751,LC08_L2SP_028036_20230514_02_T2,2023-05-14 17:07:16.220826+00:00,99.91,,2023-05-14 17:07:16.220826+00:00,2023-05-14,2023
Acme,34.60221,-98.24894,LC09_L2SP_028036_20230522_02_T1,2023-05-22 17:07:29.898816+00:00,81.11,0.1368898707166835,2023-05-22 17:07:29.898816+00:00,2023-05-22,2023
Acme,34.60217,-98.2038,LC08_L2SP_028036_20230530_02_T1,2023-05-30 17:07:18.018883+00:00,4.49,0.1100740637190774,2023-05-30 17:07:18.018883+00:00,2023-05-30,2023
Acme,34.60223,-98.27356,LC09_L2SP_028036_20230607_02_T1,2023-06-07 17:07:25.040520+00:00,54.08,,2023-06-07 17:07:25.040520+00:00,2023-06-07,2023
Acme,34.60215,-98.20859,LC08_L2SP_028036_20230615_02_T1,2023-06-15 17:07:27.088016+00:00,8.69,0.0880973323967351,2023-06-15 17:07:27.088016+00:00,2023-06-15,2023
Acme,34.60224,-98.21616,LC09_L2SP_028036_20230623_02_T1,2023-06-23 17:07:18.660691+00:00,95.57,,2023-06-23 17:07:18.660691+00:00,2023-06-23,2023
Acme,34.60206,-98.21542,LC08_L2SP_028036_20230701_02_T1,2023-07-01 17:07:36.317816+00:00,63.81,,2023-07-01 17:07:36.317816+00:00,2023-07-01,2023
